City,SKU,January,February,March,April,May,June,July,August,September,October,November,December,Annual Demand
Albuquerque,AC014,7,7,9,27,16,27,30,24,18,14,6,6,191
Albuquerque,AC016,14,15,21,13,20,13,19,16,13,17,20,12,193
Albuquerque,AC043,18,19,18,16,20,20,18,19,18,12,14,15,207
Albuquerque,AC056,2,4,1,4,5,0,3,2,3,2,6,3,35
Albuquerque,DR017,12,5,11,19,15,16,13,20,19,8,11,9,158
Albuquerque,DR021,8,5,9,15,21,18,28,25,15,7,6,8,165
Albuquerque,DR063,6,6,14,19,15,27,23,24,16,6,10,9,175
Albuquerque,DR086,9,9,13,17,14,31,20,33,15,14,5,10,190
Albuquerque,HA023,5,3,2,16,5,5,2,3,0,2,4,5,52
Albuquerque,HA024,17,15,16,21,15,16,16,17,13,13,22,13,194
Albuquerque,HA030,19,19,13,16,17,17,16,15,17,22,18,14,203
Albuquerque,HA035,17,16,18,16,22,14,15,14,17,13,21,15,198
Albuquerque,JA005,4,1,2,7,6,6,7,12,2,1,5,3,56
Albuquerque,JA018,5,4,1,6,7,9,8,20,2,2,2,4,70
Albuquerque,JA032,2,4,1,4,7,6,5,15,2,3,2,4,55
Albuquerque,JA037,4,2,1,8,9,8,8,15,2,4,4,4,69
Albuquerque,JA084,3,2,2,7,6,7,8,20,3,4,3,2,67
Albuquerque,JE011,16,15,13,11,14,14,14,17,15,16,13,18,176
Albuquerque,JE012,18,13,20,12,15,16,14,18,18,18,15,16,193
Albuquerque,JE041,16,15,12,14,17,15,14,17,15,17,18,16,186
Albuquerque,JE067,15,17,16,16,13,17,18,21,12,17,16,18,196
Albuquerque,JE087,16,16,12,17,21,22,18,15,13,16,16,14,196
Albuquerque,SH001,20,21,17,13,13,16,15,14,16,15,13,22,195
Albuquerque,SH004,8,5,5,18,23,23,26,18,15,9,7,9,166
Albuquerque,SH010,13,14,12,17,17,21,14,17,16,15,18,15,189
Albuquerque,SH027,6,8,9,15,23,27,22,25,20,7,7,7,176
Albuquerque,SH031,3,2,3,13,18,28,26,26,21,2,3,2,147
Albuquerque,SH033,4,3,2,4,4,3,6,2,0,1,2,4,35
Albuquerque,SH055,5,7,6,14,16,19,26,32,19,7,6,9,166
Albuquerque,SH074,6,7,6,17,23,26,20,20,17,8,8,7,165
Albuquerque,SH075,7,9,6,23,29,20,32,22,17,9,7,7,188
Albuquerque,SH098,19,15,23,15,16,17,19,16,15,13,21,16,205
Albuquerque,SK003,15,20,18,23,21,13,20,19,20,17,16,13,215
Albuquerque,SK015,16,18,15,16,13,19,16,15,17,15,16,16,192
Albuquerque,SK092,12,20,17,20,14,15,17,18,19,16,17,17,202
Albuquerque,SW002,4,4,4,14,15,4,2,2,1,2,2,2,56
Albuquerque,SW007,2,2,1,17,19,4,3,6,1,2,3,2,62
Albuquerque,SW029,3,4,2,12,18,6,2,4,1,3,4,2,61
Albuquerque,SW036,5,4,5,20,14,5,2,2,1,4,3,2,67
Albuquerque,SW061,1,5,4,19,23,3,4,2,2,4,4,5,76
Albuquerque,T-006,15,15,21,16,14,19,16,18,23,7,17,15,196
Albuquerque,T-009,14,18,13,17,13,15,23,16,14,6,16,13,178
Albuquerque,T-022,15,13,17,15,16,13,16,16,15,12,16,13,177
Albuquerque,T-025,18,14,21,19,18,13,13,17,19,17,21,12,202
Albuquerque,T-054,14,17,17,16,17,14,21,18,13,17,19,16,199
Arlington,AC014,81,78,86,289,212,327,325,269,193,193,92,58,2203
Arlington,AC016,186,174,216,177,243,180,196,176,133,205,198,146,2230
Arlington,AC043,168,190,197,159,250,190,219,180,165,189,152,201,2260
Arlington,AC056,261,331,199,65,62,4,36,30,157,169,352,292,1958
Arlington,DR017,156,61,155,183,189,148,165,217,178,95,100,96,1743
Arlington,DR021,89,66,90,141,207,220,370,331,173,95,81,90,1953
Arlington,DR063,86,58,121,234,160,256,239,261,173,63,146,123,1920
Arlington,DR086,103,110,122,190,139,360,277,360,222,111,64,108,2166
Arlington,HA023,285,290,296,188,48,57,18,38,48,166,300,299,2033
Arlington,HA024,187,143,195,212,177,189,171,175,133,161,215,162,2120
Arlington,HA030,163,177,158,154,184,171,148,196,158,223,219,181,2132
Arlington,HA035,176,160,174,139,199,147,159,137,167,148,219,201,2026
Arlington,JA005,265,242,178,66,55,61,92,162,201,85,242,354,2003
Arlington,JA018,328,327,150,62,60,113,80,197,131,273,242,219,2182
Arlington,JA032,226,310,180,62,67,73,66,146,129,332,391,305,2287
Arlington,JA037,211,247,224,98,81,95,79,134,241,341,263,339,2353
Arlington,JA084,208,232,201,64,63,90,79,176,224,235,231,255,2058
Arlington,JE011,162,179,140,162,184,164,135,152,164,169,200,166,1977
Arlington,JE012,172,167,210,154,128,163,145,211,193,179,163,190,2075
Arlington,JE041,199,211,139,150,214,221,181,174,155,228,193,169,2234
Arlington,JE067,203,163,156,165,186,189,214,215,168,211,166,165,2201
Arlington,JE087,165,194,133,161,216,203,203,148,144,193,181,153,2094
Arlington,SH001,167,237,215,155,161,184,174,165,127,125,165,209,2084
Arlington,SH004,75,55,58,178,266,251,234,228,140,77,75,83,1720
Arlington,SH010,158,126,124,182,197,216,159,215,202,196,164,143,2082
Arlington,SH027,65,90,83,192,253,326,341,213,202,76,86,72,1999
Arlington,SH031,34,18,32,151,231,276,329,281,243,21,24,24,1664
Arlington,SH033,319,321,161,52,36,27,63,17,40,199,270,315,1820
Arlington,SH055,53,85,89,200,215,244,291,271,187,77,81,83,1876
Arlington,SH074,59,61,64,196,240,275,243,196,165,79,82,79,1739
Arlington,SH075,65,90,69,223,336,231,366,283,160,71,81,89,2064
Arlington,SH098,185,198,223,164,154,181,219,195,200,184,210,170,2283
Arlington,SK003,147,188,172,217,204,172,182,177,219,165,217,176,2236
Arlington,SK015,188,160,196,158,134,175,163,213,185,151,235,165,2123
Arlington,SK092,131,181,142,194,161,199,233,202,177,140,164,180,2104
Arlington,SW002,236,219,273,181,205,51,20,18,131,284,319,304,2241
Arlington,SW007,212,314,258,193,207,48,30,52,156,270,249,232,2221
Arlington,SW029,281,267,302,167,168,52,22,45,161,213,263,320,2261
Arlington,SW036,386,269,357,209,153,55,27,21,200,228,202,258,2365
Arlington,SW061,186,247,286,206,231,30,39,28,167,232,256,269,2177
Arlington,T-006,146,164,209,220,203,154,212,185,208,88,175,174,2138
Arlington,T-009,171,224,153,211,198,166,213,173,116,69,162,138,1994
Arlington,T-022,167,127,197,133,213,195,188,185,172,136,194,138,2045
Arlington,T-025,214,148,201,185,176,133,155,212,196,148,180,155,2103
