StoreID,SKU,month,Demand
Store-001,SH001,January,51
Store-001,SH001,February,58
Store-001,SH001,March,55
Store-001,SH001,April,45
Store-001,SH001,May,39
Store-001,SH001,June,48
Store-001,SH001,July,38
Store-001,SH001,August,47
Store-001,SH001,September,46
Store-001,SH001,October,40
Store-001,SH001,November,42
Store-001,SH001,December,56
Store-002,SH001,January,33
Store-002,SH001,February,33
Store-002,SH001,March,30
Store-002,SH001,April,22
Store-002,SH001,May,23
Store-002,SH001,June,28
Store-002,SH001,July,30
Store-002,SH001,August,33
Store-002,SH001,September,28
Store-002,SH001,October,28
Store-002,SH001,November,23
Store-002,SH001,December,33
Store-003,SH001,January,47
Store-003,SH001,February,49
Store-003,SH001,March,62
Store-003,SH001,April,47
Store-003,SH001,May,40
Store-003,SH001,June,51
Store-003,SH001,July,35
Store-003,SH001,August,36
Store-003,SH001,September,33
Store-003,SH001,October,31
Store-003,SH001,November,41
Store-003,SH001,December,61
Store-004,SH001,January,90
Store-004,SH001,February,106
Store-004,SH001,March,122
Store-004,SH001,April,109
Store-004,SH001,May,95
Store-004,SH001,June,106
Store-004,SH001,July,87
Store-004,SH001,August,116
Store-004,SH001,September,77
Store-004,SH001,October,70
Store-004,SH001,November,79
Store-004,SH001,December,115
Store-005,SH001,January,82
Store-005,SH001,February,83
Store-005,SH001,March,109
Store-005,SH001,April,71
Store-005,SH001,May,60
Store-005,SH001,June,88
Store-005,SH001,July,84
Store-005,SH001,August,66
Store-005,SH001,September,62
Store-005,SH001,October,55
Store-005,SH001,November,65
Store-005,SH001,December,78
Store-006,SH001,January,39
Store-006,SH001,February,45
Store-006,SH001,March,47
Store-006,SH001,April,33
Store-006,SH001,May,31
Store-006,SH001,June,47
Store-006,SH001,July,43
Store-006,SH001,August,42
Store-006,SH001,September,41
Store-006,SH001,October,35
Store-006,SH001,November,33
Store-006,SH001,December,41
Store-007,SH001,January,51
Store-007,SH001,February,47
Store-007,SH001,March,63
Store-007,SH001,April,42
Store-007,SH001,May,41
Store-007,SH001,June,58
Store-007,SH001,July,50
Store-007,SH001,August,43
Store-007,SH001,September,49
Store-007,SH001,October,46
